file_id	file_name	project_id
0baa181d-69a4-4da2-80e1-c5d4edd8d9ed	TCGA-COAD.d1720b5b-6093-46f0-8a85-ee8bc7bf938e.wgs.tumor_normal.gatk4_mutect2.raw_somatic_mutation.vcf.gz	TCGA-COAD
0bed8e57-c901-4771-8756-c194efe84810	TCGA-LUSC.ccdf8baa-f4ab-4b50-8e96-726503e8de56.wgs.tumor_normal.gatk4_mutect2.raw_somatic_mutation.vcf.gz	TCGA-LUSC
0d8a7c30-0c62-4121-8052-dfb5e7cd69b8	MP2PRT-WT.b51821e0-dc76-4ddb-a8d4-bc95bc8f6104.wgs.tumor_normal.gatk4_mutect2.raw_somatic_mutation.vcf.gz	MP2PRT-WT
0e27163f-1836-4876-ba61-beefb7ccbc0b	TCGA-LUSC.3fe9857a-eec2-41b3-aa2d-ea9eb8ad5e2c.wgs.tumor_normal.gatk4_mutect2.raw_somatic_mutation.vcf.gz	TCGA-LUSC
0f10a797-2305-42a8-ba19-fb493ec0fe91	TCGA-BLCA.2a2208cd-194b-4b39-ba77-8c7a02446287.wgs.tumor_normal.gatk4_mutect2.raw_somatic_mutation.vcf.gz	TCGA-BLCA
0f9b4cb9-0e65-40d7-b67e-9529ce85791f	TCGA-LUSC.20b8abc9-ae88-4190-9fb4-a2effa64772e.wgs.tumor_normal.gatk4_mutect2.raw_somatic_mutation.vcf.gz	TCGA-LUSC
10108443-b6de-442c-82ad-3ae68b27da28	TCGA-LUSC.af159ef2-38dc-48ef-be95-685d71b34273.wgs.tumor_normal.gatk4_mutect2.raw_somatic_mutation.vcf.gz	TCGA-LUSC
108f31ab-e432-4535-8333-8d1d184d5142	TCGA-LUSC.a14025d6-ad53-4a28-9da9-cd10c2ab235f.wgs.tumor_normal.gatk4_mutect2.raw_somatic_mutation.vcf.gz	TCGA-LUSC
113d4a72-9ebe-4e63-bd05-165b863f6bcb	TCGA-LUSC.48bc670a-4c98-43d1-813e-13c8d709ea8f.wgs.tumor_normal.gatk4_mutect2.raw_somatic_mutation.vcf.gz	TCGA-LUSC
125357d9-9c0c-4063-8aab-7f4146fc9665	TCGA-BRCA.1bb73d44-3d6b-4872-bc71-11eddb9c337b.wgs.tumor_normal.gatk4_mutect2.raw_somatic_mutation.vcf.gz	TCGA-BRCA
127e09b5-d6e6-437f-9529-b0aad01a42b4	TCGA-BLCA.f8691fb3-bd8d-4a22-981a-200636b9271d.wgs.tumor_normal.gatk4_mutect2.raw_somatic_mutation.vcf.gz	TCGA-BLCA
128f0c0d-c037-4ae8-982b-5b9daa8b61a8	TCGA-LUSC.0331a5f2-18fb-43a1-b8ac-8fc62f3b14e7.wgs.tumor_normal.gatk4_mutect2.raw_somatic_mutation.vcf.gz	TCGA-LUSC
129ad988-cbd8-4b37-b6eb-8f89c84393d4	TCGA-LUSC.b4fc7990-cfde-4c24-b556-2481a113ad4c.wgs.tumor_normal.gatk4_mutect2.raw_somatic_mutation.vcf.gz	TCGA-LUSC
144b1a98-f9b6-4289-b141-48a88ac712ef	TCGA-LUSC.1190bb79-564b-42fa-adbc-1ef020644c04.wgs.tumor_normal.gatk4_mutect2.raw_somatic_mutation.vcf.gz	TCGA-LUSC
14e0a150-745a-40c2-8430-1df5c00754b7	TCGA-BRCA.d651dd00-d983-4cca-8d7f-daa473d21e99.wgs.tumor_normal.gatk4_mutect2.raw_somatic_mutation.vcf.gz	TCGA-BRCA
