id	experimental_strategy	project_id
22384a62-2d9b-4a91-b1e3-460aac8839f6	WXS	TCGA-THCA
719c6c4e-62c1-4600-bc27-bd75a76ff5d4	WXS	TCGA-THCA
87693de6-784a-4881-ae60-050a0688d160	WXS	TCGA-THCA
bc8d109d-c978-4eef-b072-bbb1c79bfcf2	WXS	TCGA-CESC
481fe091-4da4-4d31-a288-064045ac705f	WXS	TCGA-CESC
53b2e41b-e580-42a4-83e1-2deb3dc1b6e6	WXS	TCGA-CESC
8773f9ca-0abf-4757-8dc7-0eef9c021dd9	WXS	TCGA-CESC
202c79f8-956a-4d99-8080-b4fb930571cf	WXS	TCGA-CESC
b9768282-73f8-4c3b-82ee-717cdcc9ee07	WXS	TCGA-CESC
f88bdf92-94b7-4742-bfae-1b16f4e86250	WXS	TCGA-CESC
1b1f972f-f728-498e-8908-6c18548b5cc0	WXS	TCGA-CESC
e63b5d80-d360-4437-8cd2-db990c71d504	WXS	TCGA-CESC
1aad269d-fc11-4e04-b6ac-785bf2ee779c	WXS	TCGA-CESC
f106f9f9-6bd3-4da1-833f-c14fb83cf972	WXS	TCGA-CESC
bdfec51e-e0e8-4bf4-813f-4eba43fbfb08	WXS	TCGA-CESC
d746df8b-3ad6-4dff-a227-23560fa25bd7	WXS	TCGA-CESC
251c2ab3-0f90-484c-b822-567ef5626b88	WXS	TCGA-CESC
cecadaf3-24bf-42e9-8e25-761e52b03862	WXS	TCGA-CESC
5da5b8d7-5acf-4b58-b8e6-3b17ebae5b78	WXS	TCGA-CESC
ae1dfec6-324f-4dd9-aa28-2b1cc3c80e9b	WXS	TCGA-CESC
68a439a0-29ae-4024-aefb-e43d8a0e44ca	WXS	TCGA-CESC
494ac01c-dc62-4fff-9b08-8b2734fce357	WXS	TCGA-CESC
f8d09c18-8bca-4de9-a4de-11e78f09b9a1	WXS	TCGA-CESC
45b98552-f798-45e6-b421-99dba16cf910	WXS	TCGA-CESC
e2805f20-bd93-4e85-a0ca-6832c24eb17b	WXS	TCGA-CESC
a3a43a6b-0445-4238-bd8a-b1129eb983a5	WXS	TCGA-CESC
f25d9adc-4005-435a-8270-d59c3f05d03c	WXS	TCGA-CESC
60fb1897-4d2b-450b-9398-afab1892fd80	WXS	TCGA-CESC
036540a9-e21f-4f56-aab1-9f0fb13e40a1	WXS	TCGA-CESC
ff9ca9a3-e716-45f6-89fa-953f298462f5	WXS	TCGA-CESC
4a9f5ef6-7358-42cf-8224-25824eccc881	WXS	TCGA-CESC
b132e1ee-e699-4441-b196-bd48d73668df	WXS	TCGA-CESC
f7615653-516a-48db-a0b0-d549b1db36ef	WXS	TCGA-CESC
87e58bd4-bc6e-415a-bf7e-a5720bc5ab6c	WXS	TCGA-HNSC
f0d68e32-83f8-4455-b29a-dffb7b2aa1b4	WXS	TCGA-TGCT
c272e64e-e61b-4335-be2a-888032ecc3d3	WXS	TCGA-TGCT
e56e9cd6-1350-4688-a81f-174c4edc3e83	WXS	TCGA-HNSC
0d824b4e-9001-4329-a2d6-30b214058add	WXS	TCGA-TGCT
57c8039e-54ca-475f-b181-27803455db3e	WXS	TCGA-TGCT
446dc27e-c668-4247-bd35-1e37bb547372	WXS	TCGA-TGCT
