Data Format	Old File UUID	Old File Name	New File UUID	New File Name
VCF	0004f223-180a-4cd1-add5-fc0d2f0b55d6	0004f223-180a-4cd1-add5-fc0d2f0b55d6.vcf.gz	da7610a9-b27f-4e25-b72a-f1d30127421c	da7610a9-b27f-4e25-b72a-f1d30127421c.vcf
VCF	001330b2-15dd-4ff6-80c8-0206e2d7a7d8	001330b2-15dd-4ff6-80c8-0206e2d7a7d8.vcf.gz	7c766cdf-9972-4c82-bb93-8bc8f8c8d5bc	7c766cdf-9972-4c82-bb93-8bc8f8c8d5bc.vcf
VCF	00554662-b0cc-4dd3-8ccd-57991431a3fc	00554662-b0cc-4dd3-8ccd-57991431a3fc.vcf.gz	1a476809-3e24-4019-b11c-2556330acfe5	1a476809-3e24-4019-b11c-2556330acfe5.vcf
VCF	00572611-be2a-44d6-be3a-61aafbc0a6ca	00572611-be2a-44d6-be3a-61aafbc0a6ca.vep.reheader.vcf.gz	727ed4b0-9d63-4f14-959f-e61b795cf806	727ed4b0-9d63-4f14-959f-e61b795cf806.vep.reheader.vcf.gz
VCF	00580e7f-1b3c-46c4-8fea-b73177d7bd70	00580e7f-1b3c-46c4-8fea-b73177d7bd70.vep.reheader.vcf.gz	5f0a6dfe-fc9e-47f3-ae3a-3934a7bf8cd0	5f0a6dfe-fc9e-47f3-ae3a-3934a7bf8cd0.vep.reheader.vcf.gz
VCF	006335bf-5ac3-40d8-af1a-976d8c8c3e27	006335bf-5ac3-40d8-af1a-976d8c8c3e27.vcf.gz	87c08473-cfcb-485d-928f-4d8f3f54659b	87c08473-cfcb-485d-928f-4d8f3f54659b.vcf
VCF	008109c1-7db9-4315-ac3a-ebc7b48e454f	008109c1-7db9-4315-ac3a-ebc7b48e454f.vep.reheader.vcf.gz	37bb6630-26d5-4c0a-b90e-b5cea04a9e1d	37bb6630-26d5-4c0a-b90e-b5cea04a9e1d.vep.reheader.vcf.gz
VCF	00a5cb92-66aa-482f-951d-0ff341591bbe	00a5cb92-66aa-482f-951d-0ff341591bbe.vcf.gz	972a7282-73f8-4885-9f63-1f62a9341673	972a7282-73f8-4885-9f63-1f62a9341673.vcf
VCF	00f9af16-dd4b-4d5e-8056-9b0fdd0253ab	00f9af16-dd4b-4d5e-8056-9b0fdd0253ab.vep.reheader.vcf.gz	23fb28ba-b01d-4c5c-94c8-aedcf8251cd8	23fb28ba-b01d-4c5c-94c8-aedcf8251cd8.vep.reheader.vcf.gz
VCF	0117b1af-3cf3-49b1-a174-8451de876807	0117b1af-3cf3-49b1-a174-8451de876807.vcf.gz	804b868d-c961-44cc-a745-dd388ed5eab2	804b868d-c961-44cc-a745-dd388ed5eab2.vcf
VCF	0129024f-606c-438a-ab2e-610412a43677	0129024f-606c-438a-ab2e-610412a43677.vcf.gz	d46da343-b1ca-41fa-b0c5-e1b7ac6df41c	d46da343-b1ca-41fa-b0c5-e1b7ac6df41c.vcf
VCF	013af95a-7d8a-4624-a9ed-173ea95da846	013af95a-7d8a-4624-a9ed-173ea95da846.vep.reheader.vcf.gz	1bfc1988-8a48-40b6-b798-1f17cd02a0f3	1bfc1988-8a48-40b6-b798-1f17cd02a0f3.vep.reheader.vcf.gz
VCF	01519147-70ac-4e30-81ff-13b7f89eb02b	01519147-70ac-4e30-81ff-13b7f89eb02b.vcf.gz	93c505b2-f365-44a4-8645-c4b556ecb8d8	93c505b2-f365-44a4-8645-c4b556ecb8d8.vcf
VCF	01a65fd2-c0cb-433e-be44-2c75747d45fb	01a65fd2-c0cb-433e-be44-2c75747d45fb.vcf.gz	649d8dbf-cfe0-4d2c-8bbd-e0d494bc46ab	649d8dbf-cfe0-4d2c-8bbd-e0d494bc46ab.vcf
VCF	01bd422b-c342-4260-9da4-7aac7d034684	01bd422b-c342-4260-9da4-7aac7d034684.vcf.gz	5c6cafaf-0a91-4875-9265-c91419b8c34d	5c6cafaf-0a91-4875-9265-c91419b8c34d.vcf
