id	filename	md5	size	state
30f3d35b-d33e-4fc7-be3f-d428f2ba1561	raw_feature_bc_matrix.tar.gz	9767b7f2aac3ef96bfe70423d98dc1d7	131242477	released
3b903a73-534d-4c1b-9bf2-8dba4abf54bc	raw_feature_bc_matrix.tar.gz	956172395f455a39e85f0cb90da4fa27	278469279	released
a06d7756-5df6-475c-89bd-bd1dd1555104	possorted_genome_bam.bam	c23494e630462c2d3fd9e74451e4b181	40023051443	released
a12a483a-71a6-490c-b175-3373997ab5d5	possorted_genome_bam.bam	d705a4fddaf3904e90b7aaee6704a1ef	33941762690	released
aab20e3a-4d24-4106-921c-d872293bdb2e	raw_feature_bc_matrix.tar.gz	e67513707760da67018dcc2ab0a79de0	294281535	released
a72c6a09-a388-4146-81b1-35161b7e952d	possorted_genome_bam.bam	a399407ab72dbf08fc883f35e7af53a4	32346182334	released
271662dd-63fb-4109-8e2a-d6f5bae3e1f6	possorted_genome_bam.bam	fd4f85577a2bc8778e31dd9b9198da24	36827067033	released
cb7f2b9f-026c-474c-8597-d255f446da18	possorted_genome_bam.bam	a8d615564506880e1594a12ed51befc1	24794207809	released
5f6318a2-5b3d-410b-9c0d-d13cb012a05c	9c512b17-6c2f-4edc-aa9e-6c5a20100141.qc_filtered_feature_bc_matrix.tar.gz	84cecc5e9778d939384ef514eb39566f	136184165	released
05de0e56-54d0-43d8-a685-72efedb3ab97	raw_feature_bc_matrix.tar.gz	a5d3663db1cac4c31c134d61b44c1285	181001856	released
fc4819a5-2574-4027-a71b-17bafa19e6c3	49558c5a-0011-488a-ad07-6b31709a6e04.qc_filtered_feature_bc_matrix.tar.gz	4e262803c65fb66c9826eeafbe9c23fb	62259980	released
97a21536-05ef-4299-a499-6ebe3b549d7e	possorted_genome_bam.bam	be0cb592ec948f3f2af87a839258f967	31798102492	released
9035a8d6-2378-440d-a8e2-82015e60d684	6079b7a4-c460-42c3-884c-4ae8831c6c27.qc_filtered_feature_bc_matrix.tar.gz	ee24617eeeba24047e710dce1bdf1994	46675073	released
3e43d48f-6af1-4137-8c59-ece1ac753be2	raw_feature_bc_matrix.tar.gz	ef4fbed77d2d3b51c3e1fe9ee10f9bfb	140741918	released
1f722c87-06c1-4b11-a25b-4e614ab5d35f	0eecf8b5-db4e-458d-8632-72ba9e0bb836.qc_filtered_feature_bc_matrix.tar.gz	3d93220da334ee362be96d6aff731413	39850301	released
c2689d4e-8fb5-406d-9a9c-d379d950037f	possorted_genome_bam.bam	bca03b32d20bb26aaceebdbf37ee5959	25480646057	released
1aed1532-cad7-4aeb-8dd0-ab8b8c0a48f2	raw_feature_bc_matrix.tar.gz	0f87c169d10260b64d43644b42815142	260568159	released
bb5961b4-e113-4880-ba17-3e7800aab33f	12bfba79-a3bc-4eef-bff4-833432c4cb3d.qc_filtered_feature_bc_matrix.tar.gz	f3d569c8e36304d793de114ca3393cfb	105706831	released
a8bb406b-e9be-468c-bd0b-511c327fcc6c	possorted_genome_bam.bam	d7b3899e426bbb32cab57df17496ed18	22969152976	released
e79c6c73-17ef-40f9-9fb5-99c26393df7d	raw_feature_bc_matrix.tar.gz	b275cd6b3ea46020dede5d8f4cab37e6	174997647	released
fa204a1f-d4d7-47a8-8ddc-506a67186b0b	9f300e98-e196-4a21-9b79-2a4d6272ffe3.qc_filtered_feature_bc_matrix.tar.gz	bc14ebb3e015552d1046c6dec12b73b1	61443443	released
4cc00a1b-6ee4-4520-a76e-94ea33e09889	possorted_genome_bam.bam	de94c65f41e9cb0b966922dbf278eea2	27855697509	released
592db8d9-9e08-4438-879c-c88ef693d977	0ece8e3c-b9ed-45bd-8b3e-7e7e0a5694a5.qc_filtered_feature_bc_matrix.tar.gz	ca75163d43d939f4bddb9fd7114d2308	118117243	released
eb7db717-d0a1-4e61-a60c-f3e949ea2e57	c8646ebc-40fa-45f9-b7fb-a8b225ec15be.qc_filtered_feature_bc_matrix.tar.gz	629940fb8f1187d998cf5f28dcd5b77d	24467965	released
cf269d85-b7ed-4bde-9582-2f8d6af79749	raw_feature_bc_matrix.tar.gz	1a867b695f008f899d12ae2134aa1065	84273899	released
dbae3a3e-5100-466a-917e-e93a64db37ed	0da18d68-6653-4fa2-980b-aca2bc71b845.qc_filtered_feature_bc_matrix.tar.gz	2af1f6e7c5796598a95b8b2eb59d3118	24527797	released
81af3f7d-1e43-47cb-88f9-07fdb39b7cd3	possorted_genome_bam.bam	6fc463f522df04b5194fd0fb91c8b836	27748877601	released
0168ce05-198f-42fd-b19f-58e21a429791	89b15e1d-8769-4ab7-80c4-71557b2d21e4.qc_filtered_feature_bc_matrix.tar.gz	17e4eae249e3bf0becb72cce463a829d	65623517	released
